Console,Game,Collection,Genre,,Time,Score,Video,Speedrun,,,,Active,Done,
GBA,F-Zero Maximum Velocity,,Racing,,,,,,,,,x,,
GBA,Franklin's Great Adventures,,Misc.,,,,,,,,,x,,
GBA,Golden Sun,,RPG,,,,,,,,,x,,
GBA,Harry Potter and the Philosopher's Stone,,Adventure,,,,,,,,,x,,
GBA,Ice Age,,Platformer,,,,,,,,,x,,
GBA,ISS: International Superstar Soccer,,Sports,,,,,,,,,x,,
GBA,It's Mr. Pants,,Puzzle,,,,,,,,,x,,
GBA,Jackie Chan Adventures: Legend of the Dark Hand,,Beat 'm Up,,2:55:15,4,https://youtu.be/ksjbwJ7b0Ps,,,,,x,x,
GBA,Kirby: Nightmare in Dreamland,,Platformer,,,,,,,,,x,,
GBA,Kurukuru Kururin,,Arcade,,,,,,,,,x,,
GBA,Lego Bionicle,,Adventure,,,,,,,,,x,,
GBA,Madagascar Operation Penguin,Shrek 2 / Madagascar Operation Penguin,Platformer,,,,,,,,,x,,
GBA,Mario Kart Super Circuit,,Racing,,,,,,,,,x,,
GBA,Medabots Metabee,,RPG,,,,,,,,,x,,
GBA,Megaman & Bass,,Platformer,,,,,,,,,x,,
GBA,Megaman Battle Network 3: White,,RPG,,,,,,,,,x,,
GBA,Megaman Battle Network 4: Red Sun,,RPG,,,,,,,,,x,,
GBA,Megaman Zero,,Platformer,,,,,,,,,x,,
GBA,Mission: Impossible,,Tactical Shooter,,,,,,,,,x,,
